site,title,price,price_numeric,description,url,image_url,scraped_date
Brigitte Sauvager,"Nantes Procé, 35.35 m²",148 400 € F.A.I,148400,Appartement T1 bis de 35.35 m² avec balcon entièrement rénové en étage élevé avec ascenseur,https://www.brigitte-sauvager.com/appartement-t1-bis-de-3535-m-avec-balcon-et-parking-entierement-renove-en-etage-eleve-avec-ascenseur,https://www.brigitte-sauvager.com/cms/310_218-20251018_115027.jpg,2026-02-04
Brigitte Sauvager,"Nantes Procé Monselet, 92 m²",384 800 € F.A.I,384800,Appartement T3 de 92 m² au 3e étage avec ascenseur avec terrasse et vue dégagée sur la Chézine,https://www.brigitte-sauvager.com/appartement-t3-de-92-m-au-3e-etage-avec-ascenseur-avec-terrasse-et-vue-degagee-sur-la-chezine,https://www.brigitte-sauvager.com/cms/310_218-IMG_6373.jpg,2026-02-04
Brigitte Sauvager,"Nantes Procé, 21.74 m²",99 500 € F.A.I,99500,Studio de 21.74 m² avec balcon sur jardin exposé ouest dans une résidence au calme,https://www.brigitte-sauvager.com/studio-de-2174-m-balcon-sur-jardin-expose-ouest-dans-residence-au-calme,https://www.brigitte-sauvager.com/cms/310_218-WEBIMG_1072.jpg,2026-02-04
Brigitte Sauvager,"Nantes - Camus, 75.28 m²",448 000 € F.A.I,448000,Bel appartement T3 de 75.28 m² aux prestations de qualité avec terrasse Sud Ouest parking résidence de standing,https://www.brigitte-sauvager.com/bel-appartement-t3-de-7528-m-aux-prestations-de-qualite-avec-terrasse-sud-ouest-et-parking-dans-une-residence-de-standing,https://www.brigitte-sauvager.com/cms/310_218-WEBIMG_2838.jpg,2026-02-04
Brigitte Sauvager,"Nante Monselet, 82.22 m²",252 000 € F.A.I,252000,Appartement T3 de 82.2 m² traversant Est-Ouest dans une résidence de standing au calme,https://www.brigitte-sauvager.com/appartement-t3-de-822-m-traversant-est-ouest-dans-une-residence-de-standing-au-calme,https://www.brigitte-sauvager.com/cms/310_218-WEBIMG_4399.jpg,2026-02-04
Brigitte Sauvager,"Nantes Procé, 160 m²",727 600 € F.A.I,727600,Bel appartement T6 de 160 m² avec triple exposition en étage élevé au sein de la Résidence de la Guylhomné,https://www.brigitte-sauvager.com/bel-appartement-t6-de-160-m-avec-triple-exposition-en-etage-eleve-au-sein-de-la-residence-de-la-guylhomne,https://www.brigitte-sauvager.com/cms/310_218-IMG_0259.jpg,2026-02-04
Brigitte Sauvager,"Nantes Copernic, 166 m²",1 273 000 € F.A.I,1273000,Bel appartement duplex de 166 m² avec deux grandes terrasses dans un immeuble de standing,https://www.brigitte-sauvager.com/bel-appartement-duplex-de-166-m-avec-deux-grandes-terrasses-dans-un-immeuble-de-standing,https://www.brigitte-sauvager.com/cms/310_218-californien-outdoor_terrace-gepetto.jpg,2026-02-04
Brigitte Sauvager,"Nantes Dobrée, 124 m²",719 000 € F.A.I,719000,Très bel appartement T5 de caractère au 1e étage d'un hôtel particulier avec vue sur jardin,https://www.brigitte-sauvager.com/tres-bel-appartement-t5-de-caractere-au-1e-etage-dun-hotel-particulier-avec-vue-sur-jardin,https://www.brigitte-sauvager.com/cms/310_218-IMG_4177.jpg,2026-02-04
Brigitte Sauvager,"Nantes - Camus, 191.48 m²",874 000 € F.A.I,874000,Duplex 191.48 m² avec terrasse de 30 m² vue panoramique sur la Chézine dans un immeuble de standing,https://www.brigitte-sauvager.com/beau-duplex-traversant-de-19148-m-avec-terrasse-de-30-m-et-vue-panoramique-sur-la-chezine-au-dernier-etage-dun-immeuble-de-standing,https://www.brigitte-sauvager.com/cms/310_218-modern-outdoor_terrace-gepetto.jpg,2026-02-04
Brigitte Sauvager,"Nantes Procé, 92 m²",399 000 € F.A.I,399000,Appartement T4 de 92 m² avec balcon en étage élevé résidence de standing au calme entourée de verdure,https://www.brigitte-sauvager.com/appartement-t4-de-92-m-avec-balcon-en-etage-eleve-dans-une-residence-de-standing-au-calme-entouree-de-verdure,https://www.brigitte-sauvager.com/cms/310_218-IMG-20240524-WA0002.jpg,2026-02-04
